WetlandName,SurvYear,WetlandArea,SurveyArea,PercentFilled,SumOfCount,SurveyRecords,SpeciesRichness,SumOfNests,SumOfBroods,LatitudeDec,LongitudeDec
Noora Evaporation Basin,2015,9245.0,9.24,0.1,3577,11,11,0,0,-34.41306,140.8803
Paroo overflow lakes complex,2015,0.0,0.0,15.0,1440,18,10,0,0,-30.475308,143.779374
Pyap Lagoon,2015,60.0,42.0,70.0,105,4,4,0,0,-34.4075,140.4558
River Murray Channel,2015,0.0,0.0,100.0,770,29,13,0,0,-35.210694,143.035661
Split Rock Reservoir,2015,200.0,140.0,70.0,689,9,9,0,0,-30.5675,150.68
Tallywalka System,2015,6787.0,0.0,0.0,0,5,1,0,0,-32.533228,143.329526
Upper Darling River,2015,71969.0,719.69,1.0,252,10,10,0,0,-30.56417,145.0189
Waranga Basin,2015,5285.0,4228.0,80.0,392,7,7,0,0,-36.54861,145.1006
Banrock Station Wetland Complex,2016,300.0,300.0,100.0,258,8,8,120,1,-34.1968,140.3379
Barmah-Millewa,2016,2792.0,2792.0,100.0,4937,58,21,2119,40,-35.880729,144.969771
Booligal wetlands,2016,1225.0,1164.2,95.04,90397,96,30,23735,33,-33.94712,144.59334
Burrendong Dam,2016,6059.0,5756.05,95.0,36,4,4,0,0,-32.6886,149.1867
Coolmunda Dam,2016,1640.0,1640.0,100.0,387,11,11,0,0,-28.4402,151.2352
"Coorong, Lower Lakes and Murray Mouth",2016,142289.5,142289.5,100.0,59784,210,37,15314,95,-35.6975,139.22206
Corop wetlands complex,2016,2161.0,1941.9,89.86,491,41,19,23,8,-36.478329,144.8435
Currawinya Lakes,2016,7588.0,4754.6,62.66,22857,31,13,2,182,-28.7074,144.28765
Fivebough Swamp,2016,539.0,539.0,100.0,882,36,16,0,0,-34.50883,146.397845
Great Cumbung Swamp,2016,35225.0,31415.5,89.19,4974,51,24,0,48,-34.2393,144.008375
Gunbower-Koondrook-Perricoota,2016,56888.0,56888.0,100.0,1200,4,4,0,0,-35.8459,144.377
Gwydir Wetlands,2016,1527.2,774.3,50.7,4489,95,30,666,20,-29.2843,149.365417
Hattah Lakes,2016,792.0,675.36,85.27,221,32,10,0,0,-34.73625,142.3721
Kerang wetlands,2016,3453.5,3027.75,87.67,953,60,18,482,0,-35.616829,143.803871
Kiewa River,2016,3550.0,3550.0,100.0,0,1,1,0,0,-36.5145,147.0808
Lake Brewster,2016,4882.0,4882.0,100.0,2513,37,21,830,37,-33.482,145.9735
Lake Buloke,2016,4354.0,3918.6,90.0,2047,26,17,12,0,-36.2452,142.9781
Lake Cowal,2016,13034.0,14851.8,113.95,14418,95,33,335,8,-33.55981,147.434325
Lake Hindmarsh,2016,13501.0,12150.9,90.0,1966,29,17,9,1,-36.0508,141.9066
Lake Mokoan,2016,2641.0,1056.4,40.0,259,12,9,4,5,-36.4599,146.0911
Lindsay-Walpolla-Chowilla,2016,963.0,898.6,93.31,6111,69,24,1322,4,-34.191124,140.67308
Lowbidgee floodplain,2016,2315.0,2315.0,100.0,50873,56,18,21795,0,-34.550575,143.696425
Macquarie Marshes,2016,103327.0,85761.41,83.0,254510,34,34,297,248,-30.8812,147.6092
Menindee lakes,2016,42811.0,23449.4,54.77,1660,72,19,0,0,-32.32795,142.46186
Murray River and Euston Lakes,2016,1405.0,1405.0,100.0,135,9,7,0,0,-34.5361,142.863
Narran lakes,2016,30854.0,30428.6,98.62,23552,80,26,4,0,-29.773833,147.4191
Noora Evaporation Basin,2016,9245.0,924.5,10.0,521,6,6,0,0,-34.4213,140.8608
Paroo overflow lakes complex,2016,10790.0,7128.9,66.07,1542,80,23,40,25,-30.616575,143.772175
Pyap Lagoon,2016,60.0,60.0,100.0,65,14,11,0,0,-34.3872,140.453
River Murray Channel,2016,424.5,464.48,109.42,601,29,13,0,0,-35.2107,143.03566
Split Rock Reservoir,2016,200.0,100.0,50.0,379,8,8,0,0,-30.5517,150.6858
Tallywalka system,2016,11223.0,0.0,0.0,132,14,9,0,0,-32.49705,143.336833
Upper Darling River,2016,71969.0,51795369.61,71969.0,104,9,9,0,0,-30.5178,145.1495
Waranga Basin,2016,5285.0,279312.25,5285.0,128,7,7,0,0,-36.5503,145.0961
Yantabulla,2016,113214.0,5660.7,5.0,1900,16,16,0,0,-29.2501,144.9052
Banrock Station Wetland Complex,2017,290.0,290.0,100.0,864,25,15,90,0,-34.1968,140.3379
Barmah-Millewa,2017,2792.0,2100.9,75.25,3896,101,23,143,1,-35.880729,144.969771
Booligal wetlands,2017,984.0,582.8,59.23,11608,94,27,0,2,-33.933683,144.5755
Coolmunda Dam,2017,1640.0,1312.0,80.0,14564,37,21,0,0,-28.4402,151.2352
"Coorong, Lower Lakes and Murray Mouth",2017,142289.5,142289.5,100.0,210181,303,51,19045,60,-35.6975,139.22206
Corop wetlands complex,2017,2131.0,1168.3,54.82,64590,138,38,6,0,-36.473488,144.8406
Currawinya Lakes,2017,6717.0,0.0,0.0,0,2,1,0,0,-28.7074,144.28765
Darling Anabranch,2017,26596.0,0.0,0.0,0,6,1,0,0,-33.33538,141.83104
Fivebough Swamp,2017,282.0,112.8,40.0,4533,19,11,0,0,-34.5271,146.4408
Great Cumbung Swamp,2017,31641.5,40.9,0.13,3839,51,22,0,0,-34.2393,144.008375
Gunbower-Koondrook-Perricoota,2017,68.0,60.0,88.24,80,10,8,0,0,-35.867767,144.403067
Gwydir Wetlands,2017,563.0,11.77,2.09,3506,94,30,0,0,-29.326414,149.311657
Hattah Lakes,2017,1013.2,832.2,82.14,4681,83,22,13,1,-34.73261,142.37046
Kerang Wetlands,2017,183.0,183.0,100.0,406,10,7,229,0,-35.6799,143.8799
Kerang wetlands,2017,3007.06,2856.19,94.98,60004,166,37,4763,12,-35.606317,143.7912
Lake Brewster,2017,4882.0,3905.6,80.0,18257,44,25,20,0,-33.482,145.9735
Lake Cowal,2017,9089.0,9089.0,100.0,10843,56,31,334,0,-33.6208,147.49
Lake Mokoan,2017,2641.0,528.2,20.0,23245,49,27,2,4,-36.4599,146.0911
Lindsay-Walpolla-Chowilla,2017,900.0,809.1,89.9,35065,155,35,71,0,-34.208833,140.67315
Lowbidgee floodplain,2017,2352.0,1999.0,84.99,9164,67,28,0,10,-34.55714,143.73996
Macquarie Marshes,2017,103327.0,8098.0,7.84,15900,20,20,0,0,-30.881156,147.609206
Menindee lakes,2017,39929.51,22483.16,56.31,122365,265,40,5,0,-32.32795,142.46186
Murray River and Euston Lakes,2017,2880.0,1405.0,48.78,964,41,17,0,0,-34.5484,142.8828
Narran lakes,2017,5898.0,0.0,0.0,0,3,1,0,0,-29.773833,147.4191
Noora Evaporation Basin,2017,5266.0,4212.8,80.0,1159,5,5,0,0,-34.4213,140.8608
Paroo overflow lakes complex,2017,10551.0,331.6,3.14,6822,38,14,0,0,-30.616575,143.772175
River Murray Channel,2017,655.4,655.4,100.0,791,47,19,0,0,-35.2107,143.03566
Banrock Station Wetland Complex,2018,2293.0,1605.1,70.0,1319,34,19,110,4,-34.196838,140.337924
Barmah-Millewa,2018,2792.0,1157.55,41.46,1478,83,24,2,4,-35.880732,144.969779
Booligal wetlands,2018,984.0,5.7,0.58,3098,55,22,0,1,-33.93369,144.575501
Burrendong Dam,2018,6059.0,3029.5,50.0,394,13,13,0,0,-32.688561,149.186707
Coolmunda Dam,2018,1640.0,656.0,40.0,4161,26,26,0,0,-28.440249,151.235194
"Coorong, Lower Lakes and Murray Mouth",2018,142289.5,121878.5,85.66,275518,283,47,6376,912,-35.697504,139.222073
Corop wetlands complex,2018,2050.0,286.2,13.96,7911,79,28,62,0,-36.467057,144.837963
Cuttaburra channels,2018,5788.0,0.0,0.0,0,1,1,0,0,-30.508687,144.241803
Fivebough Swamp,2018,309.0,46.35,15.0,3257,25,15,0,0,-34.527134,146.440821
Great Cumbung Swamp,2018,31470.2,9384.12,29.82,2490,68,28,0,0,-34.239302,144.008384
Gunbower-Koondrook-Perricoota,2018,65.44,48.0,73.35,113,13,10,0,0,-35.846482,144.386402
Gwydir Wetlands,2018,552.0,91.7,16.61,21967,152,35,0,0,-29.326397,149.311674
Hattah Lakes,2018,1323.7,779.41,58.88,4532,141,25,0,0,-34.735205,142.370912
Kerang wetlands,2018,3377.95,2399.13,71.02,35720,143,30,280,1,-35.61682,143.803866
